department,phase,task,is_complete,completed_by,completed_at,notes
ALL,PRE-SHOW,Arrive at venue and check in,false,,,
ALL,PRE-SHOW,Verify crew roster and attendance,false,,,
ALL,PRE-SHOW,Inspect equipment delivery,false,,,
ALL,PRE-SHOW,Report any missing/damaged equipment,false,,,
ALL,PRE-SHOW,Review run of show,false,,,
ALL,PRE-SHOW,Attend production meeting,false,,,
ALL,PRE-SHOW,Brief department crew,false,,,
ALL,PRE-SHOW,Complete department setup,false,,,
ALL,PRE-SHOW,Test all equipment,false,,,
ALL,PRE-SHOW,Verify communication (radio check),false,,,
ALL,PRE-SHOW,Confirm ready status to PM,false,,,
ALL,PRE-SHOW,Final walkthrough,false,,,
ALL,PRE-SHOW,Confirm show ready,false,,,
ALL,SHOW,Monitor department during show,false,,,
ALL,SHOW,Respond to any issues,false,,,
ALL,SHOW,Maintain communication with PM,false,,,
ALL,SHOW,Document any problems,false,,,
ALL,SHOW,Coordinate with other departments,false,,,
ALL,SHOW,Manage crew breaks,false,,,
ALL,POST-SHOW,Begin department strike,false,,,
ALL,POST-SHOW,Supervise equipment packing,false,,,
ALL,POST-SHOW,Verify all equipment accounted,false,,,
ALL,POST-SHOW,Document any damage,false,,,
ALL,POST-SHOW,Complete equipment return,false,,,
ALL,POST-SHOW,Submit timesheets,false,,,
ALL,POST-SHOW,Report to PM on completion,false,,,
AUDIO,PRE-SHOW,PA system operational,false,,,
AUDIO,PRE-SHOW,Console patched and tested,false,,,
AUDIO,PRE-SHOW,All inputs verified,false,,,
AUDIO,PRE-SHOW,Monitor system tested,false,,,
AUDIO,PRE-SHOW,RF coordination complete,false,,,
LIGHTING,PRE-SHOW,All fixtures operational,false,,,
LIGHTING,PRE-SHOW,Focus complete,false,,,
LIGHTING,PRE-SHOW,Console programmed,false,,,
LIGHTING,PRE-SHOW,Haze/fog tested,false,,,
VIDEO,PRE-SHOW,LED wall calibrated,false,,,
VIDEO,PRE-SHOW,Cameras positioned,false,,,
VIDEO,PRE-SHOW,Switcher programmed,false,,,
VIDEO,PRE-SHOW,Graphics loaded,false,,,
STAGE,PRE-SHOW,Stage deck secure,false,,,
STAGE,PRE-SHOW,Risers in position,false,,,
STAGE,PRE-SHOW,Backline positioned,false,,,

---IMPORT INSTRUCTIONS (delete this section before importing)---
FIELD DEFINITIONS:
- department: ALL | AUDIO | LIGHTING | VIDEO | STAGE | RIGGING | PRODUCTION
- phase: PRE-SHOW | SHOW | POST-SHOW
- task: Task description
- is_complete: true | false
- completed_by: Name of person who completed
- completed_at: Completion time (HH:MM)
- notes: Additional notes

HOW TO USE:
1. Filter by your department or use ALL for universal tasks
2. Update is_complete to true as tasks are finished
3. Record who completed each task
4. Delete this instruction section before importing
5. Import via ATLVS > Settings > Data Import > Checklists
